id,title,title_japanese,format,episodes,durationmin,start_date,studio,genres,average_score,popularity,description,anilist_url,studio_list,start_date_filled
199005,#Kanagawa ni Sunderu Elf,#神奈川に住んでるエルフ ,TV_SHORT,,,2025-12-04,"Imagica Infos, Imageworks Studio","['Comedy', 'Fantasy', 'Slice of Life']",,272,"2 years ago, the elves who lived in the hidden forest lost their homes due to a forest fire, now they are living in the Kanagawa Prefecture.    This story however focuses on a human who becomes the roommate of an elf living in an apartment.    (Source: MU)",https://anilist.co/anime/199005,"['Imagica Infos', 'Imageworks Studio']",2025-12-04
189258,Ao no Miburo: Serizawa Ansatsu-hen,青のミブロ 芹沢暗殺編,TV,,,2025-12-20,,['Drama'],,1358,The second season of Ao no Miburo.,https://anilist.co/anime/189258,[],2025-12-20
188034,Girls und Panzer: Motto Love Love Sakusen desu!,ガールズ＆パンツァー もっとらぶらぶ作戦です！,MOVIE,4.0,,2025-12-26,"P.A.WORKS, Actas",['Comedy'],,1910,Four part adaptation of the Girls und Panzer: Motto Love Love Sakusen desu! manga.    (Source: Natalie Comics),https://anilist.co/anime/188034,"['P.A.WORKS', 'Actas']",2025-12-26
187901,Dead Account,デッドアカウント,TV,,,2026-01-15,SynergySP,"['Action', 'Supernatural']",,3472,"Always ready for a fight! Destruction for destruction's sake! The online streamer Aoringo is a troll, making the worst of the worst of boundary-pushing flamebait content and raking in the revenue from the hate-watchers. You may think he's nothing more than a bottom feeder and a drain on society, but in reality, he's high school dropout Souji Enishiro, a caring older brother with a sweet tooth who loves nothing more than his little sister. His viral videos? Just a way to pay his sister's medical",https://anilist.co/anime/187901,['SynergySP'],2026-01-15
203148,Hoppe-chan: Sun Oukoku to Kuro Hoppe-dan no Himitsu,ほっぺちゃん ～サン王国と黒ほっぺ団の秘密～,TV,,,2026-01-15,Toon Harbor Works,[],,31,"The anime's story is set in a world made of ""cuteness"" called Sun Kingdom. Ganso Hoppe-chan, who lost her memory, appears in the kingdom. Meanwhile, in the real world, an office worker named Hoho is slowly losing her self-esteem in her work and life, sending her on the verge of becoming lost in life. Somewhere between Ganso Hoppe-chan and Hoho's worlds, their paths cross. Back in Sun Kingdom, toxic Hoppe-chan creatures are creating an ""uncute place,"" and Ganso Hoppe-chan joins the ""Guardians"" to",https://anilist.co/anime/203148,['Toon Harbor Works'],2026-01-15
198374,Jingai Kyoushitsu no Ningengirai Kyoushi,人外教室の人間嫌い教師,TV,,,2026-01-15,Asread,"['Comedy', 'Drama', 'Fantasy', 'Romance', 'Slice of Life']",,1463,"Rei Hitoma is a former schoolteacher and a self-professed misanthrope due to past trauma. Hoping to live a slow, relaxing life, he takes a new teaching job in the mountains. But it turns out that this place is actually an all-girls school for demi-humans who want to become full-fledged human beings!    (Source: Yen Press)",https://anilist.co/anime/198374,['Asread'],2026-01-15
185039,Toumei Otoko to Ningen Onna: Sonouchi Fuufu ni Naru Futari,透明男と人間女～そのうち夫婦になるふたり～,TV,,,2026-01-15,project No.9,"['Comedy', 'Romance', 'Supernatural']",,4753,"Akira Tounome is an invisible gentleman who runs a detective agency, and Shizuka Yakou is a mild-mannered human female who works there. Shizuka can always find Akira even when he turns completely invisible. A quiet love begins to blossom between them as the invisible man and blind girl grow closer to each other…    (Source: Crunchyroll)",https://anilist.co/anime/185039,['project No.9'],2026-01-15
185262,Hell Mode: Yarikomi Suki no Gamer wa Haisettei no Isekai de Musou Suru,ヘルモード ～やり込み好きのゲーマーは廃設定の異世界で無双する～,TV,,,2026-01-15,Yokohama Animation Lab,"['Action', 'Adventure', 'Fantasy']",,3320,"“‘Level up even while offline’?! That’s not a game on ‘easy mode’—that’s just an AFK game!”    The online game Yamada Kenichi had been playing religiously is shutting down its servers, leaving him with a void in his heart. He looks for a new game to fill it, but everything he finds is way too easy. The kind of game he likes—the kind punishing enough to make players want to spend thousands of hours on it—just isn’t around anymore. “What’s this? ‘You are invited to a game that will ne",https://anilist.co/anime/185262,['Yokohama Animation Lab'],2026-01-15
185514,Champignon no Majo,シャンピニオンの魔女,TV,,,2026-01-15,"Qzil.la, TYPHOON GRAPHICS","['Drama', 'Fantasy', 'Supernatural']",,3260,"Luna, a black witch who lives quietly in a poisonous mushroom house, deep in the Black Forest. She lives in the city making high-efficiency medicines, but she is rumored to be rumored to die if she is touched, and she is avoided ... The life of a witch who doesn't know the warmth of people is carefully and momentarily drawn.",https://anilist.co/anime/185514,"['Qzil.la', 'TYPHOON GRAPHICS']",2026-01-15
185993,Kizoku Tensei: Megumareta Umare kara Saikyou no Chikara wo Eru,貴族転生 ～恵まれた生まれから最強の力を得る～,TV,,,2026-01-15,CompTown,"['Action', 'Adventure', 'Fantasy']",,3469,"Born as the thirteenth prince, Noah was originally in a position removed from the imperial succession, so he freely passed his time in the fief granted to him.    However, the Crown Prince died before the Emperor. The imperial succession would be fairly contested among the remaining princes. Noah, being the strongest despite living freely, overwhelmed the other princes and eventually became the Emperor with the most power in the world.    (Source: Shousetsuka ni Narou, translated)",https://anilist.co/anime/185993,['CompTown'],2026-01-15
186333,Majutsushi Kunon wa Mieteiru,魔術師クノンは見えている,TV,,,2026-01-15,Platinum Vision,"['Action', 'Adventure', 'Fantasy']",,2613,"Kunon, a young man who cannot see, has the goal of creating new eyes with water magic. After just five months of learning sorcery, Kunon surpassed his own mentor and honed his talent as he tried to do a feat that's never been done before. A fantasy about a young man, a blind genius, who opens up the world through curiosity in the pursuit for magic is about to begin.   (Source: Crunchyroll)",https://anilist.co/anime/186333,['Platinum Vision'],2026-01-15
187062,Hikuidori,火喰鳥,TV,,,2026-01-15,SynergySP,['Action'],,1611,,https://anilist.co/anime/187062,['SynergySP'],2026-01-15
187264,Yuusha Party wo Oidasareta Kiyou Binbou,勇者パーティを追い出された器用貧乏,TV,,,2026-01-15,animation studio42,"['Action', 'Adventure', 'Fantasy']",,3659,"""Orn Doula, today will be your last day in the party.""    Since the party was lacking someone who could play the essential role of Enchanter, it was the quickly adaptable Orn who had converted from Swordsman to Enchanter. On a certain day, Orn, who belongs to the Hero Party, is suddenly informed by the party leader—""your skills are lacking, so leave the party."" The other party members also insulted him as a ""weakling"" and a ""jack of all trades but a master of none.""    After being ex",https://anilist.co/anime/187264,['animation studio42'],2026-01-15
191967,Jigoku Sensei Nube (2025) Part 2,地獄先生ぬ～べ～ (2025) 第2クール,TV,,,2026-01-15,Studio KAI,"['Action', 'Comedy', 'Horror', 'Supernatural']",,943,The second cour of Jigoku Sensei Nube (2025).,https://anilist.co/anime/191967,['Studio KAI'],2026-01-15
163144,TRIGUN STARGAZE,TRIGUN STARGAZE,TV,,,2026-01-15,Orange,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",,14137,Sequel season to TRIGUN STAMPEDE.,https://anilist.co/anime/163144,['Orange'],2026-01-15
187941,Tensei Shitara Dragon no Tamago Datta,転生したらドラゴンの卵だった,TV,,,2026-01-15,"GA-CREW, Felix Film","['Action', 'Adventure', 'Fantasy']",,1793,"In a world full of dangerous monsters, our unnamed protagonist finds himself reborn at the very bottom of the food chain as an immobile, powerless egg. Even just hatching will require leveling up by fighting monsters–the same monsters who’d love to eat him as a snack. But with the help of the mysterious voice in his head, he’s determined to grow into the most powerful creature in the world!    (Source: Seven Seas Entertainment)",https://anilist.co/anime/187941,"['GA-CREW', 'Felix Film']",2026-01-15
187989,Yuusha no Kuzu,勇者のクズ,TV,,,2026-01-15,OLM,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Sci-Fi']",,1431,"In an alternate 21st century, rich mafia members can turn into ""Demon Kings"" through increasingly popular ether-enhancement surgery, and the bounty hunters called ""Braves"" are the ones called upon to take them down. Yashiro only wants the simple pleasures in life - pizza, beer, and card games. When three young Braves offer him a majestic sum to be their private tutor, he agrees solely for the money - but is it worth what he's getting himself into?  (Source: Manga Planet)",https://anilist.co/anime/187989,['OLM'],2026-01-15
199446,"Saioshi no Gikei Mederu Tame, Nagaikishimasu!",最推しの義兄を愛でるため、長生きします！,,,,2026-01-15,,"['Fantasy', 'Romance']",,256,"The story of Saioshi no Gikei Mederutame, Nagaikishimasu! follows the struggle of a player to protect his favorite character, who gets reincarnated as his older brother-in-law in a simulation raising game - however, the player is reincarnated as the younger brother who was meant to die. Source: ANN",https://anilist.co/anime/199446,[],2026-01-15
189275,Medalist 2nd Season,メダリスト 第2期,TV,,,2026-01-15,ENGI,"['Drama', 'Psychological', 'Sports']",,7378,The second season of Medalist.,https://anilist.co/anime/189275,['ENGI'],2026-01-15
189565,Osananajimi to wa Love Comedy ni Naranai,幼馴染とはラブコメにならない,TV,,,2026-01-15,Tezuka Productions,"['Comedy', 'Romance']",,2705,"Eeyuu, a high school boy, has a problem! Two childhood friends ""Shio"" and ""Akari"" who go to the same high school are too cute! If they find out that I'm the only one looking sexually at them now that they've grown up, even though I have no intention of doing so... that would be too much! On the other hand, the two childhood friends also have their own secrets...? It's so awkward! It's complicated! But childhood friends are the best! A sweet and impatient love triangle love comedy where you can't",https://anilist.co/anime/189565,['Tezuka Productions'],2026-01-15
194742,Maou no Musume wa Yasashi Sugiru!!,魔王の娘は優しすぎる!!,TV,,,2026-01-15,EMT Squared,"['Comedy', 'Fantasy', 'Slice of Life']",,1501,"""The Demon King Ariman"" He reigns above all in hell. Together with powerful demons. He seeks to conquer the entire world.   However, the Demon King halted his world conquest for a certain troubling matter... His daughter, Dou, is too kind?",https://anilist.co/anime/194742,['EMT Squared'],2026-01-15
191205,Okiraku Ryoushu no Tanoshii Ryouchi Bouei,お気楽領主の楽しい領地防衛,TV,,,2026-01-15,NAZ,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']",,2962,"At the age of two, Van, the fourth son of a marquis, recovered the memories of a previous life. He was becoming a child prodigy, but at the age of 8, he was found to have ""production magic"". In a world where offensive magic was considered superior, it was a ""useless"" aptitude.   His disappointed father thought that Van was not fit to be a nobleman, and Van was banished to become the lord of a nameless remote village with only his personal maid, Till. It was a desolate village with a popula",https://anilist.co/anime/191205,['NAZ'],2026-01-15
191718,"""Omae Gotoki ga Maou ni Kateru to Omou na"" to Yuusha Party wo Tsuihou Sareta node, Outo de Kimama ni Kurashitai",「お前ごときが魔王に勝てると思うな」と勇者パーティを追放されたので、王都で気ままに暮らしたい,TV,,,2026-01-15,A.C.G.T.,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']",,3216,"Flum Apricot was never meant to be a hero. Despite zero stats across the board and a power she can’t even use, she somehow finds herself included in a party of heroes. But Flum’s life hits rock bottom when the party’s renowned sage, Jean Inteige, decides that the useless girl is dead weight, and arranges to have her sold into slavery. Tossed to monsters to be feasted upon for her master’s entertainment, Flum makes the desperate choice to reach for a cursed weapon…and something new awakens within",https://anilist.co/anime/191718,['A.C.G.T.'],2026-01-15
182771,Odayaka Kizoku no Kyuuka no Susume.,穏やか貴族の休暇のすすめ。,TV,,,2026-01-15,"Ascension, SynergySP","['Adventure', 'Fantasy', 'Slice of Life']",,3023,"When Lizel mysteriously finds himself in a city that bears odd similarities to his own but clearly isn't, he quickly comes to terms with the unlikely truth: this is an entirely different world. Even so, laid-back Lizel isn't the type to panic. He immediately sets out to learn more about this strange place, and to help him do so, hires a seasoned adventurer named Gil as his tour guide and protector.    Until he's able to find a way home, Lizel figures this is a perfect opportunity to explor",https://anilist.co/anime/182771,"['Ascension', 'SynergySP']",2026-01-15
194318,Yoroi Shinden Samurai Troopers,鎧真伝サムライトルーパー,TV,,,2026-01-15,Sunrise,"['Action', 'Adventure', 'Sci-Fi']",,758,,https://anilist.co/anime/194318,['Sunrise'],2026-01-15
195518,Akuyaku Reijou wa Ringoku no Outaishi ni Dekiai Sareru,悪役令嬢は隣国の王太子に溺愛される,TV,,,2026-01-15,Studio DEEN,"['Fantasy', 'Romance']",,3036,"On the day before her downfall, Lady Tiararose Lapis Clementille recalls that she is in an otome game that she had once played in her former life. She used to adore the main love interest Prince Hartknights Lapis-Lazuli Lactomuth, but unfortunately, she was not reincarnated as the heroine, but rather as is his worst enemy—the villainess fiancée.    At their graduation ceremony, without blinking an eye, Hartknights condemns Tiararose for alleged crimes, breaks off his engagement, and procla",https://anilist.co/anime/195518,['Studio DEEN'],2026-01-15
167152,Yuusha Kei ni Shosu: Choubatsu Yuusha 9004-tai Keimu Kiroku,勇者刑に処す　懲罰勇者9004隊刑務記録,TV,,,2026-01-15,Studio KAI,"['Action', 'Comedy', 'Drama', 'Fantasy']",,17478,"""Hero"" is the worst punishment in the world.    For those convicted of heinous crimes, they are sentenced to become a “Hero"" and forced to enter the mandatory military service in the war against the Demon Lords. These convicts are not even allowed to die—if killed, they will be resurrected to fight another day.    Hero Xylo Forbartz, former head of the Order of the Holy Knights, leads a penal unit of deplorables fighting on the front lines. It’s in these direst of circumstances that",https://anilist.co/anime/167152,['Studio KAI'],2026-01-15
194028,Kirei ni Shitemoraemasu ka.,綺麗にしてもらえますか。,TV,,,2026-01-15,Okuruto Noboru,"['Comedy', 'Romance', 'Slice of Life']",,2648,"With an endearing protagonist and luscious art, this seaside slice-of-life story offers tranquility in the chaos of the modern world. For two years, Wakana Kinme has run a laundry service in the seaside resort town of Atami, where she's built a fulfilling life making friends with the locals and visiting hot springs. Although Wakana has no knowledge of her own past, her cleaning services safeguard memories imbued in customers' precious items.    (Source: Square Enix Manga & Books)",https://anilist.co/anime/194028,['Okuruto Noboru'],2026-01-15
195322,Vigilante: Boku no Hero Academia ILLEGALS 2nd Season,ヴィジランテ -僕のヒーローアカデミア ILLEGALS- 第2期,TV,,,2026-01-15,,"['Action', 'Adventure', 'Drama', 'Fantasy']",,13780,The second season of Vigilante: Boku no Hero Academia ILLEGALS.,https://anilist.co/anime/195322,[],2026-01-15
192867,Android wa Keiken Ninzuu ni Hairimasu ka??,アンドロイドは経験人数に入りますか？？,TV_SHORT,,,2026-01-15,Nyan Pollution-ω-,"['Comedy', 'Ecchi', 'Romance', 'Sci-Fi']",,1663,,https://anilist.co/anime/192867,['Nyan Pollution-ω-'],2026-01-15
192507,Uruwashi no Yoi no Tsuki,うるわしの宵の月,TV,,,2026-01-15,East Fish Studio,"['Romance', 'Slice of Life']",,7250,"Yoi Takiguchi has long legs, a deep voice, and a handsome face…in other words, Yoi is such a good-looking guy that most people don’t notice or care that she is, in fact, a girl. Indeed, she’s had the nickname “Prince” as long as she can remember. That is, until she met Ichimura-senpai…the only person who’s really seemed to see her for herself. To her surprise, she’s not sure how to handle this new relationship, especially when her newfound friend is a prince himself (and a guy prince, at that).",https://anilist.co/anime/192507,['East Fish Studio'],2026-01-15
200556,High School! Kimengumi (2026),ハイスクール！奇面組 (2026),TV,,,2026-01-15,Seven,"['Comedy', 'Romance']",,368,"The wildly eccentric group, the Kimengumi, returns in the Reiwa era with their ultra-high-energy youth comedy!",https://anilist.co/anime/200556,['Seven'],2026-01-15
202419,Omae wa Mada Gunma wo Shiranai: Reiwa-ban,お前はまだグンマを知らない～令和版～ ,TV,,,2026-01-15,"Imagica Infos, Imageworks Studio",['Comedy'],,215,Light anime for Omae wa Mada Gunma wo Shiranai.,https://anilist.co/anime/202419,"['Imagica Infos', 'Imageworks Studio']",2026-01-15
192261,29-sai Dokushin Chuuken Boukensha no Nichijou,29歳独身中堅冒険者の日常,TV,,,2026-01-15,HORNETS,"['Adventure', 'Fantasy', 'Slice of Life']",,1503,"Having spent his childhood in the slums, Hajime Shinonome desperately sought strength to survive.    Now, he enjoys a peaceful and carefree life as a resident adventurer of the Komai Village.    One day, during a quest, he ventured into a dungeon and finds a young girl being partially eaten by a weakest kind of monster, a slime!    The girl's name was Lirui. Having been abandoned by her parents, she had no place to go and entered the dungeon alone in order to stay alive. Hajime",https://anilist.co/anime/192261,['HORNETS'],2026-01-15
178005,Tamon-kun Ima Docchi!?,多聞くん今どっち！？,TV,,,2026-01-15,J.C.STAFF,"['Comedy', 'Romance']",,6652,"When a shiny idol is a sad mess in real life, can his number one fan help him stay upbeat?    High schooler Utage Kinoshita works part-time as a housekeeper so that she can afford her fangirl obsession with Tamon Fukuhara, her favorite member of boy band F/ACE. When work serendipitously sends her to the home of her idol, she discovers that the real Tamon couldn’t be more different from his wild and sexy onstage persona!    Tamon is an insecure mess in real life, and what’s worse, he’",https://anilist.co/anime/178005,['J.C.STAFF'],2026-01-15
177679,Darwin Jihen,ダーウィン事変,TV,,,2026-01-15,BELLNOX FILMS,"['Sci-Fi', 'Thriller']",,4819,"Created in a biological science lab, Charlie is a half human, half chimpanzee hybrid known as a ""Humanzee"". Raised by his adoptive human parents, Charlie is now 15 and starting high school. There he meets Lucy, a clever loner who becomes his first-ever friend. But his “normal” life is shattered when the animal rights extremists who freed his mother from the lab fifteen years ago reemerge as terrorists bent on kidnapping Charlie at all costs.    (Source: Kodansha USA)",https://anilist.co/anime/177679,['BELLNOX FILMS'],2026-01-15
177385,Ikoku Nikki,違国日記,TV,,,2026-01-15,Shuka,"['Drama', 'Slice of Life']",,5236,"The manga centers on 35-year-old novelist Makio Koudai and her 15-year-old niece Asa, who live together under one roof. Makio took Asa in on a sudden impulse after Asa's parents, which included Makio's older sister, passed away. The next day, Makio returns to her senses and remembers that she does not do well in the company of other people. So begins their daily life, as Makio attempts to acclimate to a roommate, while Asa attempts to get used to an adult that never acts like one.    (Sour",https://anilist.co/anime/177385,['Shuka'],2026-01-15
195384,Meikyuu no Shiori,迷宮のしおり,MOVIE,1.0,,2026-01-01,SANZIGEN,"['Horror', 'Sci-Fi']",,860,"One day, Shiori Maezawa, an ordinary high school girl, cracked her smartphone while falling down a staircase. As she wakes up, she finds herself in a deserted, parallel world that looks like Yokohama.    When she looks at her smartphone, she finds a photo of herself that she doesn't remember posting on social media. What’s the source of this mysterious post?    Will she be able to escape from this strange smartphone labyrinth?    (Source: Official Site, translated)",https://anilist.co/anime/195384,['SANZIGEN'],2026-01-01
